time,depth
0.0,4.533834517868383
92.91521486643438,4.543672842624209
185.83042973286877,5.326182440242267
278.74564459930315,5.806466946322683
371.66085946573753,6.445259806831058
464.5760743321719,7.294835637338756
557.4912891986063,8.233761026463512
650.4065040650407,8.697096634407048
743.3217189314751,9.475159670420748
836.2369337979095,10.233340285744083
929.1521486643438,10.719341326014732
1022.0673635307783,11.301206045493869
1114.9825783972126,11.951920564410766
1207.897793263647,12.766059731987262
1300.8130081300815,13.195664473096508
1393.7282229965156,13.64438839848676
1486.6434378629501,14.8078957128532
1579.5586527293844,15.283720930232558
1672.473867595819,15.862453985589422
1765.389082462253,16.79439592922026
1858.3042973286877,17.65076465490995
1951.219512195122,18.42119189721577
2044.1347270615565,18.802970341055634
2137.049941927991,19.37062224228568
2229.965156794425,20.388016489914087
2322.8803716608595,21.070833118479182
2415.795586527294,21.982908889928147
2508.710801393728,22.523900573613773
2601.626016260163,23.07869363237007
2694.5412311265973,23.740024479804163
2787.456445993031,24.572726021742124
2880.371660859466,25.575842696629213
2973.2868757259002,26.09880452624087
3066.202090592334,26.55682139158271
3159.117305458769,27.44186046511628
3252.032520325203,27.995771670190273
3344.947735191638,28.56737085034618
3437.862950058072,29.13021206843561
3530.778164924506,30.165672630881375
3623.693379790941,30.66137409987014
3716.6085946573753,31.11090090942259
3809.523809523809,31.897184822521414
3902.439024390244,32.73274532412885
3995.3542392566783,33.187379647459636
4088.269454123113,34.33315820037055
4181.184668989547,34.587976563653974
4274.099883855982,35.103786277147805
4367.015098722416,36.27906976744186
4459.93031358885,36.51162790697675
4552.845528455285,37.29038581484452
4645.760743321719,37.69940992710865
4738.675958188153,38.19395186398462
4831.591173054588,39.04196566104368
4924.506387921022,39.63523089361297
5017.421602787456,40.47812652463816
5110.336817653891,41.419310179576954
5203.252032520326,41.850750662349135
5296.167247386759,42.26636917531966
5389.0824622531945,42.78520417505952
5481.997677119629,43.8213456317666
5574.912891986062,44.501587952054095
5667.8281068524975,45.44117225360594
5760.743321718932,45.97068641052762
5853.658536585365,46.509130265860016
5946.5737514518005,47.28885167282
6039.488966318235,47.95217022879202
6132.404181184668,48.47561329235052
6225.3193960511035,49.09078277784531
6318.234610917538,49.95756885820311
6411.149825783971,50.541186698543804
6504.065040650406,51.41902242027573
6596.980255516841,52.12053013253314
6689.895470383276,53.15313519132998
6782.810685249709,53.68885324779471
6875.725900116144,54.095388253843126
6968.641114982579,54.52367609974783
7061.556329849012,55.73377052794005
7154.471544715448,56.17554949834715
7247.386759581882,56.69981099515162
7340.301974448315,57.71297746716473
7433.217189314751,58.85762529741345
7526.132404181185,59.2940410675188
7619.047619047618,59.71892465824128
7711.962833914054,60.688041832943455
7804.878048780488,61.38043001316367
7897.793263646921,61.79522124920257
7990.708478513357,62.30092015592268
8083.623693379791,63.37201321606998
8176.538908246226,63.85361138773358
8269.454123112659,64.29111796021294
8362.369337979095,65.19785402254897
8455.28455284553,65.94418026507871
8548.199767711963,66.48104127532956
8641.114982578398,67.47548332866349
8734.030197444832,68.00394748133527
8826.945412311266,68.41810325758358
8919.8606271777,69.10652399677943
9012.775842044135,70.06044462657513
9105.69105691057,70.9896696636362
9198.606271777004,71.56308851224105
9291.521486643438,72.0569366479551
9384.436701509872,72.56976052460466
9477.351916376307,73.2423723508074
9570.267131242741,74.06062821630437
9663.182346109175,75.25631407851964
9756.09756097561,75.71237966802002
9849.012775842044,76.24712034841681
9941.927990708478,77.23639647776022
10034.843205574913,77.77262247018302
10127.758420441347,78.18829230814693
10220.673635307781,78.62348509662628
10313.588850174216,79.81895790403297
10406.504065040652,80.29300276611002
10499.419279907084,80.7535146498489
10592.334494773519,81.81276779217981
10685.249709639955,82.33300346363185
10778.164924506389,82.74709302325581
10871.080139372822,83.19621290975716
10963.995354239258,84.33483758416357
11056.910569105692,85.06757988489284
11149.825783972125,85.51294696438545
11242.74099883856,86.02161937907667
11335.656213704995,86.88422105526382
11428.571428571428,87.61401629199993
11521.486643437864,88.36476622072671
11614.401858304298,89.17564381154929
11707.31707317073,90.06044462657515
11800.232288037167,90.40763658758321
11893.147502903601,91.3031334756766
11986.062717770033,92.09791635518465
12078.97793263647,92.51453488372093
12171.893147502904,92.96193451347912
12264.808362369336,94.09182036888531
12357.723577235773,94.57933016072553
12450.638792102207,94.98667044809983
12543.55400696864,95.77328758419111
12636.469221835076,96.64631085829012
12729.38443670151,97.11204018233023
12822.299651567942,97.91820035963843
12915.214866434379,98.65906814305438
13008.130081300813,99.33799239283505
13101.045296167247,99.98759337961619
13193.960511033682,100.64915721638084
13286.875725900116,101.58397932816537
13379.790940766552,102.25136071251855
13472.706155632985,102.7364291929038
13565.621370499419,103.84894388734797
13658.536585365855,104.61156748556957
13751.451800232287,105.17609097705898
13844.367015098722,105.89291912530372
13937.282229965158,106.71911989973542
14030.19744483159,107.4782069087793
14123.112659698025,107.89625597888835
14216.027874564461,108.67655375382309
14308.943089430895,109.58938723941883
14401.858304297328,109.93955537342485
14494.773519163764,110.79964310958157
14587.688734030198,111.61902454780362
14680.60394889663,112.41186490890239
14773.519163763067,113.11134811695777
14866.434378629501,113.61081586667233
14959.349593495934,114.68639887244538
15052.26480836237,115.18510188475553
15145.180023228804,116.0433133823731
15238.095238095237,116.82963249730389
15331.010452961673,117.24660636833302
15423.925667828107,117.70155760541626
15516.84088269454,118.83720930232558
15609.756097560976,119.35682909988394
15702.67131242741,119.68903145326564
15795.586527293843,119.92954907905573
15888.501742160279,120.46511627906978
15981.416957026713,120.84422847005287
