12.758561,12.752463,12.741170,12.731427,12.723361,12.717257,12.713228,12.711373,12.711742,12.714390,12.719498,12.727457,12.738816,12.754170,12.774042,12.798884,12.829196,12.865676,12.909333,12.961589,13.024349,13.099942,13.190954,13.300048,13.429901,13.583087,13.761612,13.966120,14.195057,14.444182,14.706796,14.974916,15.241508,15.502842,15.759476,16.015605,16.277030,16.548873,16.834229,17.133693,17.444383,17.759616,18.069224,18.367020,18.660233,18.962476,19.283501,19.625498,19.981981,20.354614,20.764657,21.232790,21.755130,22.299788,22.826408,23.307877,23.734280,24.104873,24.425685,24.712838,24.988997,25.274693,25.582292,25.914452,26.267148,26.634149,27.011947,27.395685,27.790017,27.993165
12.852920,12.846947,12.836036,12.826882,12.819506,12.814125,12.810798,12.809604,12.810575,12.813771,12.819376,12.827779,12.839516,12.855132,12.875066,12.899656,12.929292,12.964598,13.006536,13.056469,13.116213,13.188037,13.274523,13.378376,13.502341,13.649167,13.821237,14.019791,14.243990,14.490212,14.752048,15.021384,15.290906,15.556822,15.819606,16.083084,16.352524,16.632339,16.925043,17.231332,17.549167,17.873935,18.195250,18.502307,18.798522,19.096508,19.411719,19.759262,20.137794,20.536971,20.965128,21.440219,21.960132,22.496374,23.012698,23.485262,23.905585,24.273260,24.594228,24.883490,25.161593,25.447137,25.751595,26.077926,26.423196,26.782333,27.152465,27.528900,27.916227,28.115910
13.038118,13.032283,13.021955,13.013860,13.007787,13.003781,13.001786,13.001817,13.003883,13.008036,13.014470,13.023591,13.035939,13.052000,13.072029,13.096073,13.124215,13.156856,13.194857,13.239497,13.292471,13.355936,13.432473,13.524905,13.636232,13.769715,13.928717,14.115883,14.331887,14.574209,14.836612,15.110219,15.386780,15.662247,15.937047,16.214173,16.498093,16.792604,17.099310,17.419143,17.751123,18.094286,18.443160,18.776160,19.082214,19.371946,19.673400,20.027754,20.444879,20.894868,21.359457,21.849760,22.368367,22.892405,23.391713,23.847847,24.255411,24.615069,24.932569,25.221240,25.498701,25.780792,26.077648,26.392560,26.724097,27.068846,27.424870,27.787766,28.162067,28.355301
13.220256,13.214357,13.204298,13.197081,13.192204,13.189492,13.188724,13.189829,13.192793,13.197672,13.204686,13.214303,13.227139,13.243677,13.263981,13.287691,13.314372,13.344025,13.377356,13.415655,13.460610,13.514304,13.579257,13.658373,13.755030,13.873338,14.018062,14.193701,14.402749,14.643653,14.909604,15.190169,15.475906,15.762586,16.050510,16.340931,16.637273,16.944493,17.264147,17.597750,17.944419,18.299325,18.670120,19.036303,19.362546,19.660990,19.962379,20.315228,20.756656,21.254393,21.758675,22.266548,22.786009,23.300688,23.785209,24.224748,24.617170,24.964936,25.273696,25.555470,25.826353,26.100797,26.388115,26.691682,27.010805,27.342926,27.686555,28.037442,28.400072,28.587497
13.400590,13.394478,13.384493,13.378076,13.374346,13.372888,13.373295,13.375378,13.379098,13.384549,13.392030,13.402119,13.415561,13.432903,13.454054,13.478181,13.504146,13.531302,13.560047,13.591727,13.628177,13.671470,13.723935,13.788298,13.868148,13.968595,14.096195,14.257818,14.458443,14.697854,14.968289,15.257247,15.554343,15.855593,16.160665,16.466472,16.773910,17.091773,17.423030,17.768105,18.127401,18.484516,18.849600,19.226326,19.578291,19.925465,20.285025,20.655256,21.100867,21.634535,22.177539,22.700390,23.215661,23.716137,24.182898,24.603632,24.978520,25.312133,25.610212,25.883281,26.145953,26.411596,26.688853,26.981152,27.288390,27.608665,27.940790,28.280559,28.632296,28.814255
13.576716,13.570453,13.560702,13.555250,13.552776,13.552643,13.554271,13.557348,13.561798,13.567777,13.575720,13.586382,13.600681,13.619276,13.642013,13.667636,13.694231,13.720289,13.745654,13.771603,13.800199,13.833609,13.873859,13.923151,13.984874,14.064881,14.171537,14.314505,14.502314,14.737275,15.011184,15.309700,15.621802,15.943367,16.272133,16.596568,16.911271,17.233180,17.570057,17.913163,18.266403,18.627737,19.001803,19.384881,19.752520,20.154219,20.612317,21.053486,21.509421,22.053412,22.616107,23.139058,23.639744,24.120595,24.567648,24.969861,25.327834,25.647579,25.935200,26.199864,26.454587,26.711678,26.979220,27.260698,27.556535,27.865425,28.186519,28.515707,28.857082,29.033824
13.746496,13.740630,13.732045,13.728231,13.727509,13.729102,13.732291,13.736636,13.742005,13.748627,13.757116,13.768470,13.783838,13.804054,13.829006,13.857185,13.886002,13.913005,13.937232,13.959606,13.982257,14.007467,14.036977,14.072218,14.116021,14.174555,14.257433,14.376884,14.545997,14.771463,15.046475,15.356619,15.690116,16.039253,16.397151,16.741547,17.054318,17.366934,17.701932,18.032647,18.367241,18.741526,19.165294,19.601541,20.003773,20.433262,20.944741,21.466110,21.972851,22.520282,23.066789,23.562508,24.036419,24.496961,24.927698,25.315727,25.660389,25.968753,26.247693,26.505334,26.753104,27.002292,27.260615,27.531743,27.816599,28.114391,28.424609,28.743354,29.074531,29.246139
13.907281,13.902950,13.897378,13.896480,13.898539,13.902744,13.908298,13.914607,13.921424,13.929011,13.938182,13.950251,13.966704,13.988667,14.016209,14.047775,14.080323,14.110545,14.136515,14.158431,14.178078,14.197674,14.218756,14.242043,14.269535,14.307254,14.365310,14.457806,14.603003,14.813338,15.087140,15.415617,15.779759,16.154337,16.531194,16.892720,17.207762,17.511842,17.844584,18.172010,18.512781,18.915240,19.371666,19.856002,20.321391,20.786262,21.306983,21.859815,22.419807,22.981465,23.490309,23.939352,24.385875,24.834221,25.257609,25.639156,25.975421,26.275232,26.547533,26.799746,27.041617,27.283518,27.533035,27.794237,28.068584,28.355660,28.655168,28.963457,29.284340,29.450748
14.058167,14.056840,14.056624,14.060262,14.066501,14.074614,14.083774,14.093189,14.102385,14.111537,14.121626,14.134339,14.151659,14.175221,14.205525,14.241147,14.278742,14.314307,14.344976,14.369975,14.390209,14.407454,14.423131,14.437446,14.451415,14.470012,14.502823,14.564940,14.679746,14.866306,15.130414,15.477086,15.879747,16.273669,16.642922,17.008795,17.352319,17.680058,18.025720,18.369113,18.735008,19.168263,19.634534,20.127651,20.637829,21.140899,21.664084,22.211555,22.777871,23.331346,23.810647,24.241193,24.685926,25.136418,25.560874,25.942166,26.274057,26.567056,26.833910,27.082099,27.319204,27.554510,27.795698,28.047435,28.311833,28.588792,28.878029,29.176021,29.486506,29.647606
14.201308,14.204194,14.211267,14.220842,14.232572,14.245913,14.260051,14.273956,14.286792,14.298463,14.309962,14.323331,14.341203,14.366029,14.399102,14.439378,14.483173,14.525775,14.563579,14.595070,14.620075,14.639280,14.653896,14.663514,14.668086,14.670482,14.677865,14.707099,14.782030,14.932128,15.175798,15.518382,15.937791,16.355158,16.727088,17.093510,17.472123,17.852797,18.240327,18.610298,18.979193,19.414551,19.897564,20.400092,20.930403,21.462138,21.982581,22.505831,23.050507,23.577699,24.037775,24.484035,24.955119,25.417042,25.844687,26.226123,26.554752,26.841767,27.103716,27.349157,27.583079,27.813038,28.046830,28.289873,28.545073,28.812731,29.092479,29.380711,29.680985,29.836779
