Age_Ma,LT_reconstructed
-1.550800000000000125e+02,-1.362525164316352573e+02
-1.550600000000000023e+02,-1.363828351541889106e+02
-1.550400000000000205e+02,-1.365121667992740697e+02
-1.550200000000000102e+02,-1.366405150836616542e+02
-1.550000000000000000e+02,-1.367678837241222709e+02
-1.549800000000000182e+02,-1.368942764374264129e+02
-1.549600000000000080e+02,-1.370196969403451135e+02
-1.549399999999999977e+02,-1.371441489496488941e+02
-1.549200000000000159e+02,-1.372676361821082764e+02
-1.549000000000000057e+02,-1.373901623544942368e+02
-1.548800000000000239e+02,-1.375117311835771545e+02
-1.548600000000000136e+02,-1.376323463861281198e+02
-1.548400000000000034e+02,-1.377520116789175972e+02
-1.548200000000000216e+02,-1.378707307787160801e+02
-1.548000000000000114e+02,-1.379885074022946583e+02
-1.547800000000000011e+02,-1.381053452664238250e+02
-1.547600000000000193e+02,-1.382212480878740735e+02
-1.547400000000000091e+02,-1.383362195834164936e+02
-1.547199999999999989e+02,-1.384502634698215502e+02
-1.547000000000000171e+02,-1.385633834638597648e+02
-1.546800000000000068e+02,-1.386755832823022274e+02
-1.546600000000000250e+02,-1.387868666419192039e+02
-1.546400000000000148e+02,-1.388972372594816989e+02
-1.546200000000000045e+02,-1.390066988517604329e+02
-1.546000000000000227e+02,-1.391152551355257287e+02
-1.545800000000000125e+02,-1.392229098275486194e+02
-1.545600000000000023e+02,-1.393296666445997403e+02
-1.545400000000000205e+02,-1.394355293034495276e+02
-1.545200000000000102e+02,-1.395405015208690145e+02
-1.545000000000000000e+02,-1.396445870136287510e+02
-1.544800000000000182e+02,-1.397477894984992872e+02
-1.544600000000000080e+02,-1.398501126922515425e+02
-1.544399999999999977e+02,-1.399515603116561238e+02
-1.544200000000000159e+02,-1.400521360734835810e+02
-1.544000000000000057e+02,-1.401518436945048052e+02
-1.543800000000000239e+02,-1.402506868914902611e+02
-1.543600000000000136e+02,-1.403486693812109820e+02
-1.543400000000000034e+02,-1.404457948804373757e+02
-1.543200000000000216e+02,-1.405420671059401343e+02
-1.543000000000000114e+02,-1.406374897744901489e+02
-1.542800000000000011e+02,-1.407320666028579410e+02
-1.542600000000000193e+02,-1.408258013078141744e+02
-1.542400000000000091e+02,-1.409186976061296548e+02
-1.542199999999999989e+02,-1.410107592145750743e+02
-1.542000000000000171e+02,-1.411019898499209830e+02
-1.541800000000000068e+02,-1.411923932289381867e+02
-1.541600000000000250e+02,-1.412819730683972637e+02
-1.541400000000000148e+02,-1.413707330850691051e+02
-1.541200000000000045e+02,-1.414586769957242609e+02
